name,rva,size,note
??_7CRecentFileList@@6B@,0x1eda54,0x18,MFC/CRT (statically linked; not reconstructed)
??_7CFrameWnd@@6B@,0x1edf0c,0xfc,MFC/CRT (statically linked; not reconstructed)
??_7CView@@6B@,0x1ee1c4,0x110,MFC/CRT (statically linked; not reconstructed)
??_7CCtrlView@@6B@,0x1ee2dc,0x110,MFC/CRT (statically linked; not reconstructed)
??_7CDocument@@6B@,0x1ee484,0xb8,MFC/CRT (statically linked; not reconstructed)
??_7CMirrorFile@@6B@,0x1ee54c,0x5c,MFC/CRT (statically linked; not reconstructed)
??_7type_info@@6B@,0x1ee5ac,0x4,MFC/CRT (statically linked; not reconstructed)
??_7strstreambuf@@6B@,0x1f0344,0x2c,MFC/CRT (statically linked; not reconstructed)
??_7istrstream@@6B@,0x1f0374,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ostrstream@@6B@,0x1f0384,0x4,MFC/CRT (statically linked; not reconstructed)
??_7strstream@@6B@,0x1f0394,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ios@@6B@,0x1f03bc,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ifstream@@6B@,0x1f03c4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ofstream@@6B@,0x1f03d4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7filebuf@@6B@,0x1f03fc,0x2c,MFC/CRT (statically linked; not reconstructed)
??_7streambuf@@6B@,0x1f042c,0x2c,MFC/CRT (statically linked; not reconstructed)
??_7istream@@6B@,0x1f045c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7istream_withassign@@6B@,0x1f046c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ostream@@6B@,0x1f047c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ostream_withassign@@6B@,0x1f048c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7iostream@@6B@,0x1f049c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CMemFile@@6B@,0x1f0964,0x70,MFC/CRT (statically linked; not reconstructed)
??_7CStringArray@@6B@,0x1f09ec,0x14,MFC/CRT (statically linked; not reconstructed)
??_7fstream@@6B@,0x1f0ad4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CrtDataPtr_216100@@6B@,0x216100,0x4,CRT/zlib .data fn-ptr slot (first=__fpmath)
??_7CrtDataPtr_216120@@6B@,0x216120,0x4,CRT/zlib .data fn-ptr slot (first=__exit)
??_7CrtDataPtr_216450@@6B@,0x216450,0x4,CRT/zlib .data fn-ptr slot (first=__CxxUnhandledExceptionFilter)
??_7CrtDataPtr_216528@@6B@,0x216528,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_21652c@@6B@,0x21652c,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_216530@@6B@,0x216530,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_216534@@6B@,0x216534,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_216538@@6B@,0x216538,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_21653c@@6B@,0x21653c,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_224ff0@@6B@,0x224ff0,0x4,CRT/zlib .data fn-ptr slot (first=deflate_stored)
??_7CrtDataPtr_2257fe@@6B@,0x2257fe,0x100,CRT/zlib .data fn-ptr slot (first=sub_18e514)
??_7CrtDataPtr_216104@@6B@,0x216104,0x4,CRT thread .data table (stamped by GetCurrentThreadId/TlsSetValue; slot=ret-stub 0x51f510)
??_7CrtDataPtr_216108@@6B@,0x216108,0x4,CRT thread .data table (stamped by __endthreadex; slot=ret-stub 0x51f510)
??_7CrtDataPtr_216464@@6B@,0x216464,0x4,CRT SEH funclet table (slot 0x524df0 uses __except_handler3)
??_7CrtDataPtr_216558@@6B@,0x216558,0x4,CRT locale table (stamped by __setlocale_set_cat; slot in __expandlocale 0x5273f0)
??_7CArchiveStream@@6B@,0x1ed98c,0x38,MFC NAFXCW - CArchive's COM IStream wrapper (QueryInterface/Read/Write/Seek; statically linked, not reconstructed)
??_7_zdvec@@6B@,0x1f04dc,0x4,UNRECOVERED container-family class (its one slot is the ??_G at 0x16ea80); sits between zDArray (0x1f04d4) and CButeNodeEntry (0x1f04d8) in the band - likely _zdvec of the RTTI chain zDArray:_zdvec:_zvec:zErrHandling. @identity-TODO - was previously bound under the fabricated name ??_7CButeStore@@6BCButeStoreSecond@@@
