# unit-level REL32 call-count divergence, base vs delinked target.
# ours>retail: we call where retail expanded (or delink packing).
# ours<retail: we expand where retail called. Generated by the EH-map campaign screen.
unit	callee	ours	retail
wwdobjmgr	??1CGameObject@@UAE@XZ	4	2
wwdobjmgr	??1CObArray@@UAE@XZ	2	0
wwdobjmgr	??1CResolveNode@@UAE@XZ	6	3
wwdobjmgr	??1CString@@QAE@XZ	8	4
wwdobjmgr	??1CWapObj@@UAE@XZ	3	0
wwdobjmgr	??1CWwdGameObject@@UAE@XZ	1	0
wwdobjmgr	??1CWwdGameObjectA@@UAE@XZ	2	1
wwdobjmgr	??1CWwdGameObjectC@@UAE@XZ	1	0
wwdobjmgr	??1CWwdGameObjectF@@UAE@XZ	1	0
wwdobjmgr	??1WwdDirtyRect@@QAE@XZ	5	3
wwdobjmgr	??1WwdRegion@@QAE@XZ	5	3
wwdobjmgr	??3@YAXPAX@Z	10	0
wwdobjmgr	?Unload@CAniAdvanceCursor@@UAEXXZ	2	0
wwdspatialmgr	??3@YAXPAX@Z	2	1
wwdspatialmgr	?RemoveAll@CDDrawChildGroup@@QAEXPAU__POSITION@@PAUCGameObject@@@Z	2	4
