# Volatile MSVC compiler-generated function evidence.
#
# Audit/navigation only: this file is intentionally not consumed by the source-label
# or objdiff pipeline. _$E<n> is a TU-local emission ordinal, not semantic identity;
# its numeric suffix can change when declarations or compiler emission order change.
# Deterministic compiler-generated symbols (for example ??_G deleting destructors)
# remain RVA_COMPGEN source bindings. Only volatile ordinal helpers belong here.
#
# rva	size	observed_name	unit	former_source
0x0010fce0	0x1f	_$E1113312	tilelogicpump	src/Gruntz/TileLogicPump.cpp:807
0x001147c0	0xa	_$E1132480	toobspikez	src/Gruntz/ToobSpikez.cpp:78
0x001147e0	0x15	_$E1132512	toobspikez	src/Gruntz/ToobSpikez.cpp:79
0x00114810	0xe	_$E1132560	toobspikez	src/Gruntz/ToobSpikez.cpp:80
0x00114830	0x1f	_$E1132592	toobspikez	src/Gruntz/ToobSpikez.cpp:81
0x00115590	0xa	_$E1136016	fonts	src/Gruntz/Fonts.cpp:18
0x001155b0	0xa	_$E1136048	fonts	src/Gruntz/Fonts.cpp:19
0x001155d0	0xe	_$E1136080	fonts	src/Gruntz/Fonts.cpp:20
0x001155f0	0xa	_$E1136112	fonts	src/Gruntz/Fonts.cpp:21
0x00115610	0xa	_$E1136144	fonts	src/Gruntz/Fonts.cpp:22
0x00115630	0xa	_$E1136176	fonts	src/Gruntz/Fonts.cpp:23
0x00115650	0xe	_$E1136208	fonts	src/Gruntz/Fonts.cpp:24
0x00115670	0xa	_$E1136240	fonts	src/Gruntz/Fonts.cpp:25
0x00115690	0xa	_$E1136272	fonts	src/Gruntz/Fonts.cpp:26
0x001156b0	0xa	_$E1136304	fonts	src/Gruntz/Fonts.cpp:27
0x001156d0	0xe	_$E1136336	fonts	src/Gruntz/Fonts.cpp:28
0x001156f0	0xa	_$E1136368	fonts	src/Gruntz/Fonts.cpp:29
0x00115710	0xa	_$E1136400	fonts	src/Gruntz/Fonts.cpp:30
0x00115730	0xa	_$E1136432	fonts	src/Gruntz/Fonts.cpp:31
0x00115750	0xe	_$E1136464	fonts	src/Gruntz/Fonts.cpp:32
0x00115770	0xa	_$E1136496	fonts	src/Gruntz/Fonts.cpp:33
0x00115790	0xa	_$E1136528	fonts	src/Gruntz/Fonts.cpp:34
0x001157b0	0xa	_$E1136560	fonts	src/Gruntz/Fonts.cpp:35
0x001157d0	0xe	_$E1136592	fonts	src/Gruntz/Fonts.cpp:36
0x001157f0	0xa	_$E1136624	fonts	src/Gruntz/Fonts.cpp:37
0x00119da0	0xa	_$E33	gruntvoice	src/Gruntz/GruntVoice.cpp:264
0x00119dc0	0x15	_$E29	gruntvoice	src/Gruntz/GruntVoice.cpp:265
0x00119df0	0xe	_$E32	gruntvoice	src/Gruntz/GruntVoice.cpp:266
0x00119e10	0x1f	_$E30	gruntvoice	src/Gruntz/GruntVoice.cpp:267
0x0011a300	0xa	_$E39	gruntvoice	src/Gruntz/GruntVoice.cpp:278
0x0011a320	0x15	_$E36	gruntvoice	src/Gruntz/GruntVoice.cpp:279
0x0011a350	0xe	_$E38	gruntvoice	src/Gruntz/GruntVoice.cpp:280
0x0011a370	0x1f	_$E37	gruntvoice	src/Gruntz/GruntVoice.cpp:281
0x0013e060	0xa	_$E1302624	ddsurface	src/DDrawMgr/DDSurface.cpp:41
0x0013e070	0xa	_$E1302640	ddsurface	src/DDrawMgr/DDSurface.cpp:42
0x0013e080	0xe	_$E1302656	ddsurface	src/DDrawMgr/DDSurface.cpp:43
0x0013e090	0xa	_$E1302672	ddsurface	src/DDrawMgr/DDSurface.cpp:44
0x00141c70	0xa	_$E1318000	directdrawmgr	src/DDrawMgr/DirectDrawMgr.cpp:304
0x00141c80	0xa	_$E1318016	directdrawmgr	src/DDrawMgr/DirectDrawMgr.cpp:305
0x00141c90	0xe	_$E1318032	directdrawmgr	src/DDrawMgr/DirectDrawMgr.cpp:306
0x00141ca0	0xa	_$E1318048	directdrawmgr	src/DDrawMgr/DirectDrawMgr.cpp:307
0x00153800	0x10	_$E29	cimage	src/Image/CImage.cpp:634
0x001538b0	0x10	_$E31	cimage	src/Image/CImage.cpp:657
0x0016d700	0x10	_$E1496832	typekeycoll	src/Bute/TypeKeyColl.cpp:348
0x0016d9b0	0x10	_$E1497520	typekeycoll	src/Bute/TypeKeyColl.cpp:454
0x0016de20	0x10	_$E1498656	typekeycoll	src/Bute/TypeKeyColl.cpp:648
0x0016dfe0	0x10	_$E1499104	typekeycoll	src/Bute/TypeKeyColl.cpp:733
0x0016e730	0x51	_$E1500976	typekeycoll	src/Bute/TypeKeyColl.cpp:1086
0x00173840	0x0	_$E48	butemgr	src/Bute/ButeMgr.cpp:1214
0x00173dc0	0x0	_$E50	butemgr	src/Bute/ButeMgr.cpp:1231
0x00184b60	0xa	_$E1592160	debugprintf	src/Rez/DebugPrintf.cpp:28
0x00184b70	0xa	_$E1592176	debugprintf	src/Rez/DebugPrintf.cpp:29
0x00184b80	0xe	_$E1592192	debugprintf	src/Rez/DebugPrintf.cpp:30
0x00184b90	0xa	_$E1592208	debugprintf	src/Rez/DebugPrintf.cpp:31
