name,rva,size
??_7CToolBarCtrl@@6B@,0x1ec6ec,0xc0
??_7CStatusBarCtrl@@6B@,0x1ec7c4,0xc4
??_7CListCtrl@@6B@,0x1ec89c,0xc4
??_7CTreeCtrl@@6B@,0x1ec974,0xc0
??_7CSpinButtonCtrl@@6B@,0x1eca4c,0xc0
??_7CSliderCtrl@@6B@,0x1ecb24,0xc0
??_7CProgressCtrl@@6B@,0x1ecbfc,0xc0
??_7CHeaderCtrl@@6B@,0x1ecccc,0xc4
??_7CHotKeyCtrl@@6B@,0x1ecda4,0xc0
??_7CTabCtrl@@6B@,0x1ece7c,0xc4
??_7CAnimateCtrl@@6B@,0x1ecf54,0xc0
??_7CRichEditCtrl@@6B@,0x1ed01c,0xc0
??_7CImageList@@6B@,0x1ed0e4,0x14
??_7CFile@@6B@,0x1ed15c,0x5c
??_7CFileException@@6B@,0x1ed1bc,0x1c
??_7CMapPtrToPtr@@6B@,0x1ed264,0x14
??_7CByteArray@@6B@,0x1ed28c,0x14
??_7_AFX_WIN_STATE@@6B@,0x1ed36c,0x4
??_7CWinApp@@6B@,0x1ed374,0xa4
??_7CCommandLineInfo@@6B@,0x1ed41c,0x18
??_7CObArray@@6B@,0x1ed494,0x14
??_7CObList@@6B@,0x1ed4b4,0x14
??_7CStringList@@6B@,0x1ed4dc,0x14
??_7CException@@6B@,0x1ed584,0x1c
??_7CMemoryException@@6B@,0x1ed5a4,0x1c
??_7CNotSupportedException@@6B@,0x1ed5c4,0x1c
??_7CWinThread@@6B@,0x1ed61c,0x84
??_7_AFX_CTL3D_THREAD@@6B@,0x1ed6a4,0x4
??_7CThreadData@@6B@,0x1ed6ec,0x4
??_7CMenu@@6B@,0x1ed724,0x1c
??_7CScrollView@@6B@,0x1ed854,0x110
??_7CArchiveStream@@6B@,0x1ed98c,0x38
??_7CArchiveException@@6B@,0x1eda24,0x1c
??_7CRecentFileList@@6B@,0x1eda54,0x18
??_7CFrameWnd@@6B@,0x1edf0c,0xfc
??_7CView@@6B@,0x1ee1c4,0x110
??_7CCtrlView@@6B@,0x1ee2dc,0x110
??_7CDocument@@6B@,0x1ee484,0xb8
??_7CMirrorFile@@6B@,0x1ee54c,0x5c
??_7type_info@@6B@,0x1ee5ac,0x4
??_7strstreambuf@@6B@,0x1f0344,0x2c
??_7ios@@6B@,0x1f03bc,0x4
??_7filebuf@@6B@,0x1f03fc,0x2c
??_7streambuf@@6B@,0x1f042c,0x2c
??_7CMemFile@@6B@,0x1f0964,0x70
??_7CStringArray@@6B@,0x1f09ec,0x14
??_7CAniElementObj@@6B@,0x1efba8,0x14
??_7CDDrawWorkerB@@6B@,0x1efed0,0x38
??_7CResolveNode@@6B@,0x1efbc0,0x28
??_7CGruntzSoundInnerZ@@6B@,0x1ef700,0x40
??_7DirectSoundMgr@@6B@,0x1ef6b8,0x4
??_7DSoundCloneInst@@6B@,0x1ef6bc,0x4
??_7DSoundBaseSub@@6B@,0x1ef6c0,0x4
??_7SoundDevice@@6B@,0x1ef6c4,0x4
??_7SoundStream@@6B@,0x1ef6ec,0x4
??_7StreamFeeder@@6B@,0x1ef6f0,0xc
??_7StreamVoiceFeeder@@6B@,0x1ef6e0,0xc
??_7CShadeTableArray@@6B@,0x1efb28,0x14
