# data-symbol baseline: POD/scalar/const globals still bound by a
# storage-less DATA_SYMBOL (should be real DATA defs). Frozen, down-only;
# drive to 0. Regenerate: python -m gruntz.audit.data_symbol --write-baseline
# rva	mangled	file
0x001e9608	?g_cmdBitTable@@3PBGB	GruntzCmdMgr.cpp
0x001ef458	_IID_IDirectInputDevice2A	InputDevice.cpp
0x001ef538	?g_deviceConfigB@@3PBEB	DinMgr2.cpp
0x001ef548	?g_deviceConfigA@@3PBEB	DinMgr2.cpp
0x001ef848	_IID_IDirectDraw2	DirectDrawMgr.cpp
0x0020c838	?s_cheat_20c838@@3PADA	CheatMgr.cpp
0x0020c84c	?s_cheat_20c84c@@3PADA	CheatMgr.cpp
0x0020c85c	?s_cheat_20c85c@@3PADA	CheatMgr.cpp
0x0020c868	?s_cheat_20c868@@3PADA	CheatMgr.cpp
0x0020c878	?s_cheat_20c878@@3PADA	CheatMgr.cpp
0x0020c884	?s_cheat_20c884@@3PADA	CheatMgr.cpp
0x0020c894	?s_cheat_20c894@@3PADA	CheatMgr.cpp
0x0020c89c	?s_cheat_20c89c@@3PADA	CheatMgr.cpp
0x0020c8a4	?s_cheat_20c8a4@@3PADA	CheatMgr.cpp
0x0020c8ac	?s_cheat_20c8ac@@3PADA	CheatMgr.cpp
0x0020c8b8	?s_cheat_20c8b8@@3PADA	CheatMgr.cpp
0x0020c8c4	?s_cheat_20c8c4@@3PADA	CheatMgr.cpp
0x0020c8d4	?s_cheat_20c8d4@@3PADA	CheatMgr.cpp
0x0020c8e0	?s_cheat_20c8e0@@3PADA	CheatMgr.cpp
0x0020c8f0	?s_cheat_20c8f0@@3PADA	CheatMgr.cpp
0x0020c900	?s_cheat_20c900@@3PADA	CheatMgr.cpp
0x0020c90c	?s_cheat_20c90c@@3PADA	CheatMgr.cpp
0x0020c918	?s_cheat_20c918@@3PADA	CheatMgr.cpp
0x0020c920	?s_cheat_20c920@@3PADA	CheatMgr.cpp
0x00224d58	?g_guid1@@3PBEB	NetMgr.cpp
0x00224d68	?g_guid2@@3PBEB	NetMgr.cpp
0x00224d78	?g_guid3@@3PBEB	NetMgr.cpp
0x00224d88	?g_guid4@@3PBEB	NetMgr.cpp
0x00224d98	?g_guid5@@3PBEB	NetMgr.cpp
0x0024556c	_g_gameReg	GruntzMgr.cpp
0x0024dae0	?g_sfMusic4@@3PADA	SoundFontPath.cpp
0x0024dc28	?g_sfLocal4@@3PADA	SoundFontPath.cpp
0x0024dd30	?g_sfMusic@@3PADA	SoundFontPath.cpp
0x0024de30	?g_sfLocal@@3PADA	SoundFontPath.cpp
0x0024dfa0	?g_sfDir@@3PADA	SoundFontPath.cpp
