# Stable compiler/source-induced helper bodies that are not independent reconstruction targets.
#
# rva	size	target_rva	role	evidence
0x000201f0	0x5	0x00139330	RegistryHelper destructor forward	only entry is ILT 0x00004115; inline destructor calls RegistryHelper::Close
0x00094750	0x5	0x0013cfb0	CGameWnd Destroy forward	only entry is ILT 0x00001a9b; emitted inside CGruntzWnd destructor path
0x0009a4a0	0x5	0x001b9cde	CString destructor forward	called through ILT 0x000022b6 by CSpawnList::DeleteAllEntries
0x00139c70	0x5	0x00184a40	CHash destructor forward	CSymRec::m_keyTable (this+0x1c); Unwind@005e0a30/50/70
0x00139dd0	0x5	0x00184a40	CHashC destructor forward	CSymRec::m_valTable +0x24, CSymParser::m_hash +0x80; Unwind@005e0a7b/0b5e/0b9b
0x00139ec0	0x5	0x00184a40	CHashB destructor forward	CSymTab::m_subTabs (this+0x38); Unwind@005e0a90/0ab0
0x00139ed0	0x5	0x00184a40	CHashD destructor forward	CSymTab::m_symbols (this+0x40); Unwind@005e0a9b/0abb
