# MANUALLY MANAGED - the admitted retail .text partition: one row per
# function START (rva) plus its structural kind. No sizes and no names:
# a row's extent is DERIVED to the next row's rva (the last row ends at
# .text's virtual end), so it spans the function's whole contribution,
# trailing jump tables included. The exact CODE size of a byte-matched
# body lives on its claim - RVA(rva, size) in src/, or the size column
# of functions_zlib.tsv. kind: (empty) body | thunk (ILT/IAT glue) |
# eh (/GX funclet band) | helper (compiler 5-byte jmp forwarder, target
# re-proven from EXE bytes) | pad (non-code fill; partition bookkeeping).
# Initially admitted from the last Ghidra analysis export; boundary
# corrections are edited here. The build never regenerates this file and
# never consults a Ghidra database.
rva	kind
0x001901	thunk
0x001906	thunk
0x00191f	thunk
0x001924	thunk
0x00192e	thunk
0x001938	thunk
0x00193d	thunk
0x001947	thunk
0x001960	thunk
0x001965	thunk
0x00196a	thunk
0x001974	thunk
0x001979	thunk
0x00197e	thunk
0x00198d	thunk
0x0019b0	thunk
0x0019d8	thunk
0x0019e2	thunk
0x0019ec	thunk
0x0019f1	thunk
0x0019f6	thunk
0x0019fb	thunk
0x001a05	thunk
0x001a0a	thunk
0x001a0f	thunk
0x001a19	thunk
0x001a23	thunk
0x001a28	thunk
0x001a37	thunk
0x001a41	thunk
0x001a46	thunk
0x001a50	thunk
0x001a64	thunk
0x001a69	thunk
0x001a6e	thunk
0x001a73	thunk
0x001a78	thunk
0x001a8c	thunk
0x001a96	thunk
0x001aa0	thunk
0x001aaa	thunk
0x001aaf	thunk
0x001ab9	thunk
0x001abe	thunk
0x001ad7	thunk
0x001adc	thunk
0x001ae1	thunk
0x001aeb	thunk
0x001af0	thunk
0x001af5	thunk
0x001afa	thunk
0x001aff	thunk
0x001b09	thunk
0x001b13	thunk
0x001b22	thunk
0x001b27	thunk
0x001b3b	thunk
0x001b45	thunk
0x001b4f	thunk
0x001b54	thunk
0x001b63	thunk
0x001b68	thunk
0x001b72	thunk
0x001b7c	thunk
0x001b86	thunk
0x001b95	thunk
0x001ba4	thunk
0x001bc7	thunk
0x001bcc	thunk
0x001bd1	thunk
0x001bd6	thunk
0x001be5	thunk
0x001bea	thunk
