# Vendored zlib-1.0.4 function labels. The sources under vendor/ are PRISTINE
# (no rva.h macros), so this table is the claim channel for their TUs: labels.py
# emits each row into the unit's symbol_names fragment, authority-checked against
# the base obj. size is the retail code extent (the vendored TUs are byte-matched,
# so their claims carry the exact size, like RVA(rva, size) does for game code).
rva	name	unit	size
0x185600	_uncompress	uncompr	0x8d
0x185cf0	_inflateReset	inflate	0x44
0x185d40	_inflateEnd	inflate	0x4d
0x185d90	_inflateInit2_	inflate	0x10e
0x185ea0	_inflateInit_	inflate	0x1a
0x185ec0	_inflate	inflate	0x430
0x1862f0	_inflateSetDictionary	inflate	0x82
0x186380	_inflateSync	inflate	0xd1
0x186460	_deflateInit_	deflate	0x25
0x186490	_deflateInit2_	deflate	0x21f
0x1866b0	_deflateSetDictionary	deflate	0xf8
0x1867b0	_deflateReset	deflate	0x76
0x186830	_deflateParams	deflate	0xc6
0x186900	_deflate	deflate	0x2b6
0x186bc0	_putShortMSB	deflate	0x2f
0x186bf0	_flush_pending	deflate	0x72
0x186c70	_deflateEnd	deflate	0x90
0x186d00	_deflateCopy	deflate	0x28
0x186d30	_lm_init	deflate	0x93
0x186dd0	_deflate_stored	deflate	0x10e
0x186ee0	_fill_window	deflate	0x126
0x187010	_read_buf	deflate	0x73
0x187090	_deflate_fast	deflate	0x24c
0x1872e0	_longest_match	deflate	0x170
0x187450	_deflate_slow	deflate	0x315
0x187770	_inflate_blocks_reset	infblock	0x98
0x187810	_inflate_blocks_new	infblock	0x6e
0x187880	_inflate_blocks	infblock	0xcb0
0x188530	_inflate_blocks_free	infblock	0x37
0x188570	_inflate_set_dictionary	infblock	0x31
0x1885b0	_adler32	adler32	0x128
0x1886f0	_zcalloc	zutil	0x13
0x188710	_zcfree	zutil	0xe
0x188720	__tr_init	trees	0x74
0x1887a0	_tr_static_init	trees	0x1ee
0x188990	_init_block	trees	0x66
0x188a00	_gen_codes	trees	0x73
0x188a80	__tr_stored_block	trees	0xb3
0x188b40	__tr_align	trees	0x267
0x188db0	__tr_flush_block	trees	0x22d
0x188fe0	_build_tree	trees	0x23d
0x189220	_pqdownheap	trees	0xb2
0x1892e0	_gen_bitlen	trees	0x22f
0x189510	_build_bl_tree	trees	0x75
0x189590	_scan_tree	trees	0xe7
0x189680	_send_all_trees	trees	0x268
0x1898f0	_send_tree	trees	0x575
0x189e70	__tr_tally	trees	0x11f
0x189f90	_compress_block	trees	0x442
0x18a3e0	_set_data_type	trees	0x62
0x18a450	_bi_reverse	trees	0x1f
0x18a470	_bi_flush	trees	0x8c
0x18a500	_bi_windup	trees	0x65
0x18a570	_copy_block	trees	0x97
0x18a610	_inflate_trees_bits	inftrees	0x55
0x18a670	_huft_build	inftrees	0x4b8
0x18ab30	_inflate_trees_dynamic	inftrees	0xe8
0x18ac20	_inflate_trees_fixed	inftrees	0x141
0x18ad70	_falloc	inftrees	0x18
0x18ad90	_inflate_trees_free	inftrees	0x3e
0x18add0	_inflate_codes_new	infcodes	0x39
0x18ae10	_inflate_codes	infcodes	0x7b0
0x18b5c0	_inflate_codes_free	infcodes	0x14
0x18b5e0	_inflate_flush	infutil	0x132
0x18b720	_inflate_fast	inffast	0x332
