file	line	owner	member	type	offset	bytes	member_alignment	owner_size	owner_alignment	previous	next	reference_sites	removal	disposition	references	history_query	preceding_pack_directives
include/Bute/ButeMgr.h	184	CButeMgr	m_pad0e	char[2]	0xe	2	1	0x110	4	m_bErrorFlag	m_sErrorString	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Bute/ButeMgr.h	none in header
include/Bute/ButeMgr.h	200	CButeMgr	m_pada9	char	0xa9	1	1	0x110	4	m_currentChar	m_token	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Bute/ButeMgr.h	none in header
include/Bute/ButeTextBuf.h	9	CButeTextBuf	m_pad00	char[12]	0x0	12	1	0x64	4		m_accum	0	layout-changes	removed-obsolete-model		git log --follow -- include/Bute/ButeTextBuf.h	none in header
include/Bute/ButeTree.h	28	CVariantSlot	m_reserved10	i32	0x10	4	4	0x18	4	m_typeTag	m_label	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Bute/TypeKeyColl.cpp:706	git log --follow -- include/Bute/ButeTree.h	none in header
include/Bute/ButeTree.h	42	TypeKeyRec	m_pad0a	char[2]	0xa	2	1	0xc	4	m_value		0	layout-identical	removed-automatic-alignment		git log --follow -- include/Bute/ButeTree.h	none in header
include/Bute/PTreeNode.h	110	zPtrColl	m_pada	char[2]	0xa	2	1	0x10	4	m_flags	m_count	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Bute/PTreeNode.h	none in header
include/DDrawMgr/DDSurface.h	60	PidHeader	m_reserved1c	u32	0x1c	4	4	0x24	4	m_fill	m_pixels	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DDrawMgr/DDSurface.h	none in header
include/DDrawMgr/DDSurface.h	244	(anonymous struct at /home/sheep/Projects/gruntz/include/DDrawMgr/DDSurface.h:235:9)	m_descReserved	i32	0x20	4	4	0x6c	4	m_alphaBitDepth	m_lockBits	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DDrawMgr/DDSurface.h	none in header
include/DDrawMgr/DDrawDeviceManager.h	174	CDDrawDeviceManager	m_pad300	char[380]	0x300	380	1	0x948	4	m_helCaps	m_surfaces	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DDrawMgr/DDrawDeviceManager.h	none in header
include/DDrawMgr/DDrawPaletteRegistry.h	33	CDDrawPaletteRegistry	m_reservedMap2	CMapStringToOb	0x2c	28	4	0x68	4	m_palettesByName	m_reservedMap3	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DDrawMgr/DDrawPaletteRegistry.h	none in header
include/DDrawMgr/DDrawPaletteRegistry.h	34	CDDrawPaletteRegistry	m_reservedMap3	CMapStringToOb	0x48	28	4	0x68	4	m_reservedMap2	m_activePalette	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DDrawMgr/DDrawPaletteRegistry.h	none in header
include/DDrawMgr/DDrawShadeBlit.h	35	PidWriteHeader	m_reserved1c	i32	0x1c	4	4	0x20	4	m_fill		1	parse-error	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawShadeBlit.cpp:305	git log --follow -- include/DDrawMgr/DDrawShadeBlit.h	none in header
include/DDrawMgr/DDrawShadeBlit.h	85	CDDrawShadeBlit	m_alignmentPadding	char[2]	0x2a	2	1	0x3c	4	m_dstBpp	m_blendVariant	0	layout-identical	removed-automatic-alignment		git log --follow -- include/DDrawMgr/DDrawShadeBlit.h	none in header
include/DDrawMgr/DDrawSurfaceMgr.h	28	CSnapshotHeader	m_reserved118	char[8]	0x118	8	1	0x120	1	m_objIdCounter		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/DDrawMgr/DDrawSurfaceMgr.h	19: #pragma pack(push, 1)
include/DDrawMgr/DirectDrawMgr.h	72	CDDPalette	m_reserved	i32	0x8	4	4	0x38	4	m_palette	m_entries	2	parse-error	retained-referenced-storage-needs-semantic-review	include/DDrawMgr/DirectDrawMgr.h:28; src/DDrawMgr/DirPal.cpp:60	git log --follow -- include/DDrawMgr/DirectDrawMgr.h	none in header
include/DDrawMgr/LogicRecord.h	88	CLogicRecord	m_pad3c	char[4]	0x3c	4	1	0x17c	4	m_maxY	m_reserved40	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:692; src/DDrawMgr/DDrawSurfacePair.cpp:771	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	89	CLogicRecord	m_reserved40	i32	0x40	4	4	0x17c	4	m_pad3c	m_tweakX	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:693; src/DDrawMgr/DDrawSurfacePair.cpp:772	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	94	CLogicRecord	m_pad54	char[4]	0x54	4	1	0x17c	4	m_scrollTargetY	m_reserved58	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:698; src/DDrawMgr/DDrawSurfacePair.cpp:777	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	95	CLogicRecord	m_reserved58	i32	0x58	4	4	0x17c	4	m_pad54	m_reserved5c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:699; src/DDrawMgr/DDrawSurfacePair.cpp:778	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	96	CLogicRecord	m_reserved5c	i32	0x5c	4	4	0x17c	4	m_reserved58	m_reserved60	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:700; src/DDrawMgr/DDrawSurfacePair.cpp:779	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	97	CLogicRecord	m_reserved60	i32	0x60	4	4	0x17c	4	m_reserved5c	m_user1	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:701; src/DDrawMgr/DDrawSurfacePair.cpp:780	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	106	CLogicRecord	m_reserved84	i32	0x84	4	4	0x17c	4	m_user8	m_reserved88	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:710; src/DDrawMgr/DDrawSurfacePair.cpp:789	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	107	CLogicRecord	m_reserved88	i32	0x88	4	4	0x17c	4	m_reserved84	m_reserved8c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:711; src/DDrawMgr/DDrawSurfacePair.cpp:790	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	108	CLogicRecord	m_reserved8c	i32	0x8c	4	4	0x17c	4	m_reserved88	m_reserved90	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:712; src/DDrawMgr/DDrawSurfacePair.cpp:791	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	109	CLogicRecord	m_reserved90	i32	0x90	4	4	0x17c	4	m_reserved8c	m_reserved94	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:713; src/DDrawMgr/DDrawSurfacePair.cpp:792	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	110	CLogicRecord	m_reserved94	i32	0x94	4	4	0x17c	4	m_reserved90	m_reserved98	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:714; src/DDrawMgr/DDrawSurfacePair.cpp:793	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	111	CLogicRecord	m_reserved98	i32	0x98	4	4	0x17c	4	m_reserved94	m_reserved9c	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:715; src/DDrawMgr/DDrawSurfacePair.cpp:794	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	112	CLogicRecord	m_reserved9c	i32	0x9c	4	4	0x17c	4	m_reserved98	m_reserveda0	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:716; src/DDrawMgr/DDrawSurfacePair.cpp:795	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	113	CLogicRecord	m_reserveda0	i32	0xa0	4	4	0x17c	4	m_reserved9c	m_reserveda4	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:717; src/DDrawMgr/DDrawSurfacePair.cpp:796	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	114	CLogicRecord	m_reserveda4	i32	0xa4	4	4	0x17c	4	m_reserveda0	m_reserveda8	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:718; src/DDrawMgr/DDrawSurfacePair.cpp:797	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	115	CLogicRecord	m_reserveda8	i32	0xa8	4	4	0x17c	4	m_reserveda4	m_reservedac	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:719; src/DDrawMgr/DDrawSurfacePair.cpp:798	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
include/DDrawMgr/LogicRecord.h	116	CLogicRecord	m_reservedac	i32	0xac	4	4	0x17c	4	m_reserveda8	m_reservedb0	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/DDrawMgr/DDrawSurfacePair.cpp:720; src/DDrawMgr/DDrawSurfacePair.cpp:799	git log --follow -- include/DDrawMgr/LogicRecord.h	none in header
