rva	size	category	evidence
0x00151d20	0x3a	ORPHAN	zero-reference COMDAT (no rel32 caller, no DIR32)
0x00151e70	0x3b	GAME	engine code (refs=0 in / 1 dir32; no library signal)
0x001523f0	0x82	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00152e90	0x8b	GAME	RTTI vtable slot = CImage
0x001570d0	0x39	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00157240	0x3c	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001578b0	0x51	GAME	engine code (refs=46 in / 0 dir32; no library signal)
0x00157b00	0xb2	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00159250	0x185	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00159440	0x170	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x001598d0	0x13d	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x0015b4f0	0xde	GAME	engine code (refs=8 in / 0 dir32; no library signal)
0x0015b6d0	0x5b	GAME	engine code (refs=3 in / 0 dir32; no library signal)
0x0015b790	0x1a6	GAME	engine code (refs=3 in / 0 dir32; no library signal)
0x0015bad0	0x153	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0015bd10	0x1ef	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0015c070	0x159	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0015d9a0	0xdc	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00161460	0x7	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001614b0	0x1c	GAME	engine code (refs=0 in / 1 dir32; no library signal)
0x00161500	0x58	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00161560	0x7	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00161bf0	0x5e	GAME	engine code (refs=0 in / 1 dir32; no library signal)
0x001628d0	0x12	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001628f0	0x1fc	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001633e0	0x12	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x00163710	0x42	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00163a10	0x7	GAME	engine code (refs=9 in / 0 dir32; no library signal)
0x00163a40	0x41	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00163af0	0xcd	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00164d80	0x421	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00165620	0x101	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001660f0	0xd1	GAME	engine code (refs=0 in / 1 dir32; no library signal)
0x00166640	0x13b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00166810	0x32	GAME	engine code (refs=2 in / 0 dir32; no library signal)
0x00167260	0x1ef	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00167450	0x1ef	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00167640	0x1eb	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00167830	0x1eb	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00167ea0	0x1b9	GAME	engine code (refs=4 in / 0 dir32; no library signal)
0x00168c10	0x46	GAME	game ctor stamps embedded-stream vtable (outside iostream block)
0x001690f0	0x70	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(strstreambuf); in iostream impl block
0x00169610	0xb7	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(strstreambuf); in iostream impl block
0x00169e10	0x3c	CRT_STL	stream-class neighbor(istream); in iostream impl block
0x00169ed0	0xae	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream); in iostream impl block
0x0016a0a0	0x14	CRT_STL	stream-class neighbor(istream); in iostream impl block
0x0016a0c0	0xb3	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream); in iostream impl block
0x0016a180	0xbd	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream); in iostream impl block
0x0016a240	0x13	CRT_STL	refs iostream vtable(0x5f03xx); ios vbase [reg-0xc]; stream-class neighbor(istream); in iostream impl block
0x0016a260	0x72	CRT_STL	stream-class neighbor(istream); in iostream impl block
0x0016a340	0x69	CRT_STL	stream-class neighbor(istream); in iostream impl block
0x0016a3b0	0x5b	CRT_STL	stream-class neighbor(istream); in iostream impl block
0x0016a590	0xae	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016a670	0xec	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016a760	0xb3	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016a820	0xbd	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016a8e0	0x13	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016a900	0x72	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016a9e0	0x69	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016aa50	0x5b	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016aab0	0x64	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016ab70	0x20	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream/streambuf); in iostream impl block
0x0016abb0	0x22	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream/streambuf); in iostream impl block
0x0016abe0	0x63	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream/streambuf); in iostream impl block
0x0016ac50	0x72	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream/streambuf); in iostream impl block
0x0016acd0	0x73	CRT_STL	stream-class neighbor(ostream/streambuf); in iostream impl block
0x0016ad50	0x8c	CRT_STL	RTTI vtable slot = filebuf
0x0016aef0	0xf7	CRT_STL	RTTI vtable slot = filebuf
0x0016aff0	0x74	CRT_STL	RTTI vtable slot = filebuf
0x0016b410	0x69	CRT_STL	RTTI vtable slot = strstreambuf
0x0016b480	0x55	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016b5b0	0x9b	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016b820	0x113	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016b940	0x63	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016b9b0	0xbe	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016ba70	0x93	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016bb10	0xad	CRT_STL	stream-class neighbor(istream/ostream); in iostream impl block
0x0016bbc0	0x76	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016bc70	0x7b	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(istream/ostream); in iostream impl block
0x0016bcf0	0x13	CRT_STL	refs iostream vtable(0x5f03xx); ios vbase [reg-0xc]; stream-class neighbor(istream/ostream); in iostream impl block
0x0016be60	0x2a	UNKNOWN	in iostream block but no vtbl/vbase signal and called only by ButeMgr parsers
0x0016be90	0x99	CRT_STL	stream-class neighbor(ostream); in iostream impl block
0x0016bf30	0x3c	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x0016c030	0x8e	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(ostream); in iostream impl block
0x0016c180	0x76	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016c230	0x7b	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016c2b0	0x13	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016c2d0	0x1f5	CRT_STL	stream-class neighbor(streambuf); in iostream impl block
0x0016c740	0x8f	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016c800	0x97	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016c8a0	0xa2	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016c950	0x64	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016ca00	0x80	CRT_STL	stream-class neighbor(streambuf); in iostream impl block
0x0016ca80	0x19e	CRT_STL	refs iostream vtable(0x5f03xx); stream-class neighbor(streambuf); in iostream impl block
0x0016cdd0	0x22f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
