rva	size	category	evidence
0x0008e880	0x27	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000915d0	0x3f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00091620	0x3f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00093920	0x22f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00093be0	0x107	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00094c10	0x16	GAME	stamps game-class vtable
0x00099b80	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00099ba0	0x29	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009a0d0	0x133	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009a290	0x138	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009a420	0x1c	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009b770	0xf1	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009c650	0x372	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009cab0	0x23	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0009e0b0	0x1a3	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000adde0	0x15	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000ade60	0x102	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000adfc0	0x18d	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000ae1c0	0xae	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b15b0	0x15	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b1790	0x2ac	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b3ae0	0x15	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b3cc0	0x2ac	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b4c40	0x4b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b4d30	0x287	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b5380	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000b5400	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000bd430	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000bd450	0x16	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000bd7f0	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c0fa0	0x11	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c0fd0	0x24	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c1010	0x32	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c1060	0x29	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c10a0	0x12	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c1170	0x26	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c11b0	0x55	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c1230	0x55	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c12b0	0x1f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c12e0	0x2c	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c1320	0x4a	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c1390	0x15	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c8700	0x1f4	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000c9e40	0x1d7	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000ca0a0	0x101	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000cb740	0x8f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000cef50	0x46	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000d2b20	0x21f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000d5960	0x160	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000d5d70	0x16	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000d5e20	0x1b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000d6fa0	0x1fa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000d79d0	0x537	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000db200	0x51	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000db2f0	0x2b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000db750	0x70	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000e0d40	0x6c2	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000e17b0	0x15	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000e56b0	0x8	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000e7cd0	0xf8	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000ea170	0x5c	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000ea990	0xa72	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000eb970	0x72	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000f2b20	0x6e1	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000fa150	0x74	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000fa410	0xf5	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000fa550	0x10c	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000fa790	0x104	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000fa8f0	0x118	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000faa60	0xed	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x000fbb70	0x15	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00100780	0xb	GAME	stamps game-class vtable
0x00104c80	0x1f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00104dd0	0x6b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00109e00	0x245	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0010b4f0	0xaa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x0010bbe0	0x34	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00112080	0x138	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00112bf0	0x5e	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00113860	0x3b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001138b0	0xb4	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00113e70	0x7b	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00114ec0	0x27	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00114f00	0x3e	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00115730	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001157b0	0xa	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001163b0	0xb2	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00117800	0x47f	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00118040	0xb6	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001181d0	0x70	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00118260	0x63	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x001182f0	0xc	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00118310	0xc	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00118330	0x57	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00119fa0	0x2ac	GAME	engine code (refs=1 in / 0 dir32; no library signal)
0x00133370	0xb	GAME	engine code (refs=4 in / 0 dir32; no library signal)
