vtable_rva	class	col_offset	base_chain
0x001e7004	CActionArea	0x0	CActionArea <- CUserLogic <- CUserBase <- CWapX
0x001e705c	CUserLogic	0x0	CUserLogic <- CUserBase
0x001e70b4	CUserBase	0x0	CUserBase
0x001e70fc	?$zDArray@P8CUserLogic@@AEHXZ	0x0	?$zDArray@P8CUserLogic@@AEHXZ <- _zdvec <- _zvec <- zErrHandling
0x001e710c	CAmbientSound	0x0	CAmbientSound <- CUserBase
0x001e7124	CAmbientPosSound	0x0	CAmbientPosSound <- CAmbientSound <- CUserBase
0x001e713c	CRandomAmbientSound	0x0	CRandomAmbientSound <- CAmbientSound <- CUserBase
0x001e7154	CGuardPoint	0x0	CGuardPoint <- CUserLogic <- CUserBase <- CWapX
0x001e71ac	CWarpStonePad	0x0	CWarpStonePad <- CUserLogic <- CUserBase <- CWapX
0x001e7204	CToyPeek	0x0	CToyPeek <- CUserLogic <- CUserBase <- CWapX
0x001e725c	CFortressFlag	0x0	CFortressFlag <- CUserLogic <- CUserBase <- CWapX
0x001e72b4	CUFO	0x0	CUFO <- CPathHazard <- CUserLogic <- CUserBase <- CWapX
0x001e7324	CRainCloud	0x0	CRainCloud <- CPathHazard <- CUserLogic <- CUserBase <- CWapX
0x001e7394	CPathHazard	0x0	CPathHazard <- CUserLogic <- CUserBase <- CWapX
0x001e7404	CWarlord	0x0	CWarlord <- CUserLogic <- CUserBase <- CWapX
0x001e745c	CSingleAnimation	0x0	CSingleAnimation <- CUserLogic <- CUserBase <- CWapX
0x001e74b4	CWayPoint	0x0	CWayPoint <- CUserLogic <- CUserBase <- CWapX
0x001e750c	CKitchenSlime	0x0	CKitchenSlime <- CUserLogic <- CUserBase <- CWapX
0x001e7564	CSecretTeleporterTrigger	0x0	CSecretTeleporterTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e75bc	CSpotLight	0x0	CSpotLight <- CUserLogic <- CUserBase <- CWapX
0x001e7614	CParticlez	0x0	CParticlez <- CUserLogic <- CUserBase <- CWapX
0x001e766c	CExplosion	0x0	CExplosion <- CUserLogic <- CUserBase <- CWapX
0x001e76c4	CGruntPowerupSprite	0x0	CGruntPowerupSprite <- CUserLogic <- CUserBase <- CWapX
0x001e771c	CTimeBomb	0x0	CTimeBomb <- CUserLogic <- CUserBase <- CWapX
0x001e7774	CToobSpikez	0x0	CToobSpikez <- CUserLogic <- CUserBase <- CWapX
0x001e77cc	CGruntWingzTimeSprite	0x0	CGruntWingzTimeSprite <- CGruntHealthSprite <- CUserLogic <- CUserBase <- CWapX
0x001e7824	CStaticHazard	0x0	CStaticHazard <- CUserLogic <- CUserBase <- CWapX
0x001e787c	CDroppedObjectShadow	0x0	CDroppedObjectShadow <- CUserLogic <- CUserBase <- CWapX
0x001e78d4	CDroppedObject	0x0	CDroppedObject <- CUserLogic <- CUserBase <- CWapX
0x001e792c	CBoomerang	0x0	CBoomerang <- CProjectile <- CMovingLogic <- CUserLogic <- CUserBase <- CWapX
0x001e798c	CProjectile	0x0	CProjectile <- CMovingLogic <- CUserLogic <- CUserBase <- CWapX
0x001e79ec	CGruntToyTimeSprite	0x0	CGruntToyTimeSprite <- CGruntHealthSprite <- CUserLogic <- CUserBase <- CWapX
0x001e7a44	CGruntStaminaSprite	0x0	CGruntStaminaSprite <- CGruntHealthSprite <- CUserLogic <- CUserBase <- CWapX
0x001e7a9c	CObjectDropper	0x0	CObjectDropper <- CUserLogic <- CUserBase <- CWapX
0x001e7af4	CLightFx	0x0	CLightFx <- CUserLogic <- CUserBase <- CWapX
0x001e7b4c	CGruntToySprite	0x0	CGruntToySprite <- CUserLogic <- CUserBase <- CWapX
0x001e7ba4	CGruntHealthSprite	0x0	CGruntHealthSprite <- CUserLogic <- CUserBase <- CWapX
0x001e7bfc	CGruntSelectedSprite	0x0	CGruntSelectedSprite <- CUserLogic <- CUserBase <- CWapX
0x001e7c54	CBrickz	0x0	CBrickz <- CUserLogic <- CUserBase <- CWapX
0x001e7cac	CInGameText	0x0	CInGameText <- CUserLogic <- CUserBase <- CWapX
0x001e7d04	CInGameIcon	0x0	CInGameIcon <- CUserLogic <- CUserBase <- CWapX
0x001e7d5c	CGiantRock	0x0	CGiantRock <- CTileTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e7db4	CTileTriggerTransition	0x0	CTileTriggerTransition <- CUserLogic <- CUserBase <- CWapX
0x001e7e0c	CCoveredPowerup	0x0	CCoveredPowerup <- CTileTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e7e64	CTileSecretTrigger	0x0	CTileSecretTrigger <- CTileTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e7ebc	CCheckpointTrigger	0x0	CCheckpointTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e7f14	CTileTrigger	0x0	CTileTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e7f6c	CTileTriggerSwitch	0x0	CTileTriggerSwitch <- CUserLogic <- CUserBase <- CWapX
0x001e7fc4	CStatusBarSprite	0x0	CStatusBarSprite <- CUserLogic <- CUserBase <- CWapX
0x001e801c	CLevelTime	0x0	CLevelTime <- CUserLogic <- CUserBase <- CWapX
0x001e8074	CCursorSnapSprite	0x0	CCursorSnapSprite <- CUserLogic <- CUserBase <- CWapX
0x001e80cc	CTeleporter	0x0	CTeleporter <- CUserLogic <- CUserBase <- CWapX
0x001e8124	CGruntPuddle	0x0	CGruntPuddle <- CUserLogic <- CUserBase <- CWapX
0x001e817c	CWormhole	0x0	CWormhole <- CUserLogic <- CUserBase <- CWapX
0x001e81d4	CGruntCreationPoint	0x0	CGruntCreationPoint <- CUserLogic <- CUserBase <- CWapX
0x001e822c	CExitTrigger	0x0	CExitTrigger <- CUserLogic <- CUserBase <- CWapX
0x001e8284	CGruntStartingPoint	0x0	CGruntStartingPoint <- CUserLogic <- CUserBase <- CWapX
0x001e82dc	CMenuSparkle	0x0	CMenuSparkle <- CUserLogic <- CUserBase <- CWapX
0x001e8334	CEyeCandyAni	0x0	CEyeCandyAni <- CUserLogic <- CUserBase <- CWapX
0x001e838c	CBehindCandyAni	0x0	CBehindCandyAni <- CUserLogic <- CUserBase <- CWapX
0x001e83e4	CFrontCandyAni	0x0	CFrontCandyAni <- CUserLogic <- CUserBase <- CWapX
0x001e843c	CEyeCandy	0x0	CEyeCandy <- CUserLogic <- CUserBase <- CWapX
0x001e8494	CBehindCandy	0x0	CBehindCandy <- CUserLogic <- CUserBase <- CWapX
0x001e84ec	CFrontCandy	0x0	CFrontCandy <- CUserLogic <- CUserBase <- CWapX
0x001e8544	CSimpleAnimation	0x0	CSimpleAnimation <- CUserLogic <- CUserBase <- CWapX
0x001e859c	CDoNothingNormal	0x0	CDoNothingNormal <- CUserLogic <- CUserBase <- CWapX
0x001e85f4	CDoNothing	0x0	CDoNothing <- CUserLogic <- CUserBase <- CWapX
0x001e864c	CSingleFrameMessage	0x0	CSingleFrameMessage <- CUserLogic <- CUserBase <- CWapX
