rva,kind,interval_unit,bytes
0x001057b0,body,sbi_rectonly,8b 44 24 04 89 81 9c 02 00 00 c2 04 00 90 90 90
0x0010c810,body,?,a1 bc f3 6b 00 8b 49 38 50 81 c1 a0 01 00 00 e8
0x0010e200,body,tiletrigger,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0010ee00,body,tiletrigger,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0010f970,body,tiletrigger,a1 bc f3 6b 00 8b 49 38 50 81 c1 a0 01 00 00 e8
0x00114bc0,body,?,a1 bc f3 6b 00 8b 49 38 50 81 c1 a0 01 00 00 e8
0x001181a0,body,namerecord,8b d1 57 b9 07 00 00 00 33 c0 8d ba b8 00 00 00
0x001192a0,body,?,8b 54 24 08 8b 4c 24 04 33 c0 85 d2 7e 0b 80 39
0x00119320,body,?,8b 0d 6c 55 64 00 85 c9 74 0a 8b 44 24 04 50 e8
0x0011a8c0,body,gruntvoice,8b 41 10 8b 48 40 83 c9 01 89 48 40 33 c0 c3 90
0x0011bec0,body,gruntspawnconfig,33 c0 c2 04 00 90 90 90 90 90 90 90 90 90 90 90
