rva,unit,opt,size,name
0x8af7a,SOURCE/comwin,Od,0xdd,?com_rcv@@YIFFGPAX@Z
0x8b057,SOURCE/comwin,Od,0x145,?com_snd@@YIFFGGPAXH@Z
0x8b19c,SOURCE/comwin,Od,0x13,?com_sess@@YAFHHZZ
0x8b1af,SOURCE/comwin,Od,0x6e,?com_stat@@YIEFG@Z
0x8b21d,SOURCE/comwin,Od,0xe8,?comm_wrt_task@@YIXXZ
0x8b310,SOURCE/RECRUIT,Od,0x18c,?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z
0x8b49c,SOURCE/RECRUIT,Od,0x24b,?Open@recruitUnit@@UAEHH@Z
0x8b6e7,SOURCE/RECRUIT,Od,0xe7,?Close@recruitUnit@@UAEXXZ
0x8b7ce,SOURCE/RECRUIT,Od,0x122,?Update@recruitUnit@@QAEXXZ
0x8b8f0,SOURCE/RECRUIT,Od,0x41b,?Main@recruitUnit@@UAEHAAUtag_message@@@Z
0x8bd0b,SOURCE/RECRUIT,Od,0xdf,??0recruitUnit@@QAE@PAVarmyGroup@@HPAF@Z
0x8bdea,SOURCE/RECRUIT,Od,0xfb,??0recruitUnit@@QAE@PAVtown@@HH@Z
0x8bee5,SOURCE/RECRUIT,Od,0x14f,?QuickViewRecruit@@YIXPAVtown@@H@Z
0x8c040,SOURCE/ARMYGRP,Od,0x3c,??0armyGroup@@QAE@XZ
0x8c07c,SOURCE/ARMYGRP,Od,0x18,?View@armyGroup@@QAEXH@Z
0x8c094,SOURCE/ARMYGRP,Od,0x73,?HasAllUndead@armyGroup@@QAEHXZ
0x8c107,SOURCE/ARMYGRP,Od,0x73,?HasSomeUndead@armyGroup@@QAEHXZ
0x8c17a,SOURCE/ARMYGRP,Od,0x24d,?GetMorale@armyGroup@@QAEHPAVhero@@PAVtown@@PAV1@@Z
0x8c3c7,SOURCE/ARMYGRP,Od,0x2f,?Dismiss@armyGroup@@QAEXH@Z
0x8c3f6,SOURCE/ARMYGRP,Od,0x55,?IsMember@armyGroup@@QAEHH@Z
0x8c44b,SOURCE/ARMYGRP,Od,0x14e,?IsHomogeneous@armyGroup@@QAEHH@Z
0x8c599,SOURCE/ARMYGRP,Od,0x54,?CanJoin@armyGroup@@QAEHH@Z
0x8c5ed,SOURCE/ARMYGRP,Od,0x54,?GetNumArmies@armyGroup@@QAEHXZ
0x8c641,SOURCE/ARMYGRP,Od,0x11c,?Add@armyGroup@@QAEHHHH@Z
0x8c75d,SOURCE/ARMYGRP,Od,0x75,?Swap@armyGroup@@QAEXHPAV1@H@Z
0x8c7d2,SOURCE/ARMYGRP,Od,0x14d,?DamageGroup@armyGroup@@QAEXM@Z
0x8c920,SOURCE/REQUEST,Od,0x80,?GetMapHeader@@YIHPADPAUSMapHeader@@@Z
0x8c9a0,SOURCE/REQUEST,Od,0x1b,?CheckSumIsDemoOK@@YIHPAD@Z
0x8c9bb,SOURCE/REQUEST,Od,0xbb,?ShowThisMapGame@@YIHPAD@Z
0x8ca76,SOURCE/REQUEST,Od,0x1b,?ShowThisMap@@YIHPAD@Z
0x8ca91,SOURCE/REQUEST,Od,0x7c1,?InitializeFiles@fileRequester@@QAEHPAD0H@Z
0x8d252,SOURCE/REQUEST,Od,0x16e,??0fileRequester@@QAE@HHHPAD00@Z
0x8d3c0,SOURCE/REQUEST,Od,0x63,?MapExistsForFilter@fileRequester@@QAEHH@Z
0x8d423,SOURCE/REQUEST,Od,0x6c,?SetupFiles@fileRequester@@QAEXXZ
0x8d48f,SOURCE/REQUEST,Od,0xc7,?CleanUpData@fileRequester@@QAEXXZ
0x8d556,SOURCE/REQUEST,Od,0x8b,?Close@fileRequester@@UAEXXZ
0x8d5e1,SOURCE/REQUEST,Od,0x466,?Open@fileRequester@@UAEHH@Z
0x8da47,SOURCE/REQUEST,Od,0xa5,?SetOK@fileRequester@@QAEXH@Z
0x8daec,SOURCE/REQUEST,Od,0x11ae,?Main@fileRequester@@UAEHAAUtag_message@@@Z
0x8ec9a,SOURCE/REQUEST,Od,0x2e8,?DoKnob@fileRequester@@QAEXXZ
0x8ef82,SOURCE/REQUEST,Od,0xc42,?Update@fileRequester@@QAEXH@Z
0x8fbc4,SOURCE/REQUEST,Od,0x15b,?GetFilename@fileRequester@@QAEPADXZ
0x8fd20,SOURCE/CMBTMGR,Od,0x2c,??_H@YGXPAXIHP6EX0@Z@Z
0x8fd50,SOURCE/CMBTMGR,Od,0x1ba,??0combatManager@@QAE@XZ
0x8ff0a,SOURCE/CMBTMGR,Od,0x128,?CombineGroups@combatManager@@QAEXPAVarmyGroup@@0@Z
0x90032,SOURCE/CMBTMGR,Od,0x5f2,?SetupCombat@combatManager@@QAEXHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHH@Z
0x90624,SOURCE/CMBTMGR,Od,0x279,?InitNonVisualVars@combatManager@@QAEXXZ
0x9089d,SOURCE/CMBTMGR,Od,0x203,?SetupAdjacencyArray@combatManager@@QAEXXZ
0x90aa0,SOURCE/CMBTMGR,Od,0x43f,?Open@combatManager@@UAEHH@Z
0x90edf,SOURCE/CMBTMGR,Od,0x3d6,?Close@combatManager@@UAEXXZ
0x912b5,SOURCE/CMBTMGR,Od,0x38c,?UpdateArmyGroup@combatManager@@QAEXH@Z
0x91641,SOURCE/CMBTMGR,Od,0x365,?GenerateMap@combatManager@@QAEXXZ
0x919a6,SOURCE/CMBTMGR,Od,0x224,?GetBackgroundName@combatManager@@QAEPADXZ
0x91bca,SOURCE/CMBTMGR,Od,0x210,?MoreTreesNear@combatManager@@QAEHXZ
0x91dda,SOURCE/CMBTMGR,Od,0x3e7,?LoadIcons@combatManager@@QAEXXZ
0x921c1,SOURCE/CMBTMGR,Od,0x124,?FreeIcons@combatManager@@QAEXXZ
0x922e5,SOURCE/CMBTMGR,Od,0x36d,?LoadArmies@combatManager@@QAEXXZ
0x92652,SOURCE/CMBTMGR,Od,0xdb,?FreeArmies@combatManager@@QAEXXZ
0x9272d,SOURCE/CMBTMGR,Od,0x1e2,?GetGridIndex@combatManager@@QAEHHH@Z
0x9290f,SOURCE/CMBTMGR,Od,0x1eb,?CheckApplyGoodMorale@combatManager@@QAEXHH@Z
0x92afa,SOURCE/CMBTMGR,Od,0x1cd,?CheckApplyBadMorale@combatManager@@QAEHHH@Z
0x92cc7,SOURCE/CMBTMGR,Od,0x382,?GetNextArmy@combatManager@@QAEHH@Z
0x93049,SOURCE/CMBTMGR,Od,0xd6,?IsWinner@combatManager@@QAEHH@Z
0x9311f,SOURCE/CMBTMGR,Od,0x100e,?CatAttack@combatManager@@QAEXH@Z
0x9412d,SOURCE/CMBTMGR,Od,0x74f,?KeepAttack@combatManager@@QAEXH@Z
0x9487c,SOURCE/CMBTMGR,Od,0x17b,?ExperienceValueOfStack@combatManager@@QAEHH@Z
0x949f7,SOURCE/CMBTMGR,Od,0x88,?ResetHitByCreature@combatManager@@QAEXXZ
0x94a7f,SOURCE/CMBTMGR,Od,0x36,?ValidHex@@YIHH@Z
0x94ab5,SOURCE/CMBTMGR,Od,0x16,?SaveCombatBorder@combatManager@@QAEXXZ
0x94acb,SOURCE/CMBTMGR,Od,0x16,?DrawCombatBorder@combatManager@@QAEXXZ
0x94ae1,SOURCE/CMBTMGR,Od,0x4d8,?SetupAndLoadObstacles@combatManager@@QAEXXZ
0x94fb9,SOURCE/CMBTMGR,Od,0x2a1,?MakeCreaturesVanish@combatManager@@QAEXXZ
0x9525a,SOURCE/CMBTMGR,Od,0xbd,?LowerDoor@combatManager@@QAEXXZ
0x95317,SOURCE/CMBTMGR,Od,0xe6,?RaiseDoor@combatManager@@QAEXXZ
0x953fd,SOURCE/CMBTMGR,Od,0x84,?TestRaiseDoor@combatManager@@QAEXXZ
0x95481,SOURCE/CMBTMGR,Od,0xd8,?InCastle@combatManager@@QAEHH@Z
0x95559,SOURCE/CMBTMGR,Od,0x346,?ShotIsThroughWall@combatManager@@QAEHHHH@Z
0x9589f,SOURCE/CMBTMGR,Od,0x52e,?ShootMissile@combatManager@@QAEXHHHHPAMPAVicon@@@Z
0x95dcd,SOURCE/CMBTMGR,Od,0xf2,?CombatSystemOptions@combatManager@@QAEXXZ
0x95ebf,SOURCE/CMBTMGR,Od,0x1ea,?UpdateCombatSystemOptions@@YIXH@Z
0x960a9,SOURCE/CMBTMGR,Od,0x39a,?CombatSystemOptionsHandler@@YIHAAUtag_message@@@Z
0x96450,SOURCE/KB,Od,0x14e,@PollSound@0
0x9659e,SOURCE/KB,Od,0x20,?ForcePollSound@@YIXXZ
0x965be,SOURCE/KB,Od,0x39e,?InitMainClasses@@YIXXZ
0x9695c,SOURCE/KB,Od,0x344,?DeleteMainClasses@@YIXXZ
0x96ca0,SOURCE/KB,Od,0x39,?EarlyShutdown@@YIXPAD0@Z
0x96cd9,SOURCE/KB,Od,0x148,?SetupCDRom@@YIXXZ
0x96e21,SOURCE/KB,Od,0x77,?EarlySetup@@YIHXZ
0x96e98,SOURCE/KB,Od,0x16c0,?oldmain@@YIHXZ
0x98558,SOURCE/KB,Od,0x44,?toupper@@YIDD@Z
0x9859c,SOURCE/KB,Od,0x791,?InterpretCommandLine@@YIHXZ
0x98d2d,SOURCE/KB,Od,0x698,?InitMenuHandler@@YIHAAUtag_message@@@Z
0x993c5,SOURCE/KB,Od,0x1b,?NullHandler@@YIHAAUtag_message@@@Z
0x993e0,SOURCE/KB,Od,0x1a9,?RecruitHeroHandler@@YIHAAUtag_message@@@Z
0x99589,SOURCE/KB,Od,0x1a7,?GetBuildingInfo@@YIPADHHH@Z
0x99730,SOURCE/KB,Od,0xa4,?GetBuildingName@@YIPADHH@Z
0x997d4,SOURCE/KB,Od,0x138,?GetBuildingCost@@YIXHHQAHH@Z
0x9990c,SOURCE/KB,Od,0x20,?GetMonsterName@@YIPADH@Z
0x9992c,SOURCE/KB,Od,0x140,?GetMonsterCost@@YIXHQAH@Z
0x99a6c,SOURCE/KB,Od,0x2b5,?CanBuild@@YIHPAVtown@@H@Z
0x99d21,SOURCE/KB,Od,0x9a,?CanBuy@@YIHPAVtown@@H@Z
0x99dbb,SOURCE/KB,Od,0xc6,?GetBuildingBaseResourceValue@@YIHHHH@Z
0x99e81,SOURCE/KB,Od,0x21e,?WaitHandler@@YIHAAUtag_message@@@Z
0x9a09f,SOURCE/KB,Od,0x472,?EventWindowHandler@@YIHAAUtag_message@@@Z
0x9a511,SOURCE/KB,Od,0x1e,?TrueFalseDialogHandler@@YIHAAUtag_message@@@Z
0x9a52f,SOURCE/KB,Od,0x192,?PlayerDead@@YIXH@Z
0x9a6c1,SOURCE/KB,Od,0x19bb,?CheckEndGame@@YIXHH@Z
0x9c07c,SOURCE/KB,Od,0x95,?QuickViewWait@@YIXXZ
0x9c111,SOURCE/KB,Od,0x201,?InitVars@@YIXXZ
0x9c312,SOURCE/KB,Od,0x61b,?ShowMoraleInfo@game@@QAEXPAVhero@@H@Z
0x9c92d,SOURCE/KB,Od,0x371,?ShowLuckInfo@game@@QAEXPAVhero@@H@Z
0x9cc9e,SOURCE/KB,Od,0xd7,?ClearMapExtra@@YIXXZ
0x9cd75,SOURCE/KB,Od,0x9f,?GetMonType@@YIHHH@Z
0x9ce14,SOURCE/KB,Od,0x4ac,?AddScoreToHighScore@@YIHHHHHPAD@Z
0x9d2c0,SOURCE/KB,Od,0x66,?BVResMsg@@YIXPADHH@Z
0x9d326,SOURCE/KB,Od,0x2d,?GOut@@YIXPAD@Z
0x9d353,SOURCE/KB,Od,0x54,?NetPosToGamePos@@YIHH@Z
0x9d3a7,SOURCE/KB,Od,0xff,?WaitForOtherPlayer@@YIHXZ
0x9d4a6,SOURCE/KB,Od,0xb85,?PopNetBox@@YIXPADH@Z
0x9e02b,SOURCE/KB,Od,0xc7,?AddNetBoxLine@@YIXPADD@Z
0x9e0f2,SOURCE/KB,Od,0x214,?ShutDown@@YIXPAD@Z
0x9e306,SOURCE/KB,Od,0xa2,?FileError@@YIXPAD@Z
0x9e3a8,SOURCE/KB,Od,0x255,?SmackFade@@YIXPAE0@Z
0x9e5fd,SOURCE/KB,Od,0x303,?ShowCongrats@@YIXH@Z
0x9e900,SOURCE/KB,Od,0x99,?CongratsWait@@YIXXZ
0x9e999,SOURCE/KB,Od,0x54,?LoadPlaySample@@YI?AUSAMPLE2@@PAD@Z
0x9e9ed,SOURCE/KB,Od,0x8f,?WaitEndSample@@YIXUSAMPLE2@@H@Z
0x9ea7c,SOURCE/KB,Od,0x5d,?MemError@@YIXXZ
0x9ead9,SOURCE/KB,Od,0x3b,?GetTownName@@YIPADH@Z
0x9eb14,SOURCE/KB,Od,0x3a,?LoadSystemwideIcons@@YIXXZ
0x9eb4e,SOURCE/KB,Od,0x32,?UnloadSystemwideIcons@@YIXXZ
0x9eb80,SOURCE/KB,Od,0x10,?EarlyShutDownSystem@@YIXXZ
0x9eb90,SOURCE/KB,Od,0x75,?GameUnsaved@@YIHXZ
0x9ec05,SOURCE/KB,Od,0xa18,?HandleAppSpecificMenuCommands@@YIHH@Z
0x9f61d,SOURCE/KB,Od,0x310,?UpdateSystemOptionsMenu@@YIXXZ
0x9f92d,SOURCE/KB,Od,0x99,?CleanUpMenus@@YIXXZ
0x9f9c6,SOURCE/KB,Od,0x2a,?UpdateAppSpecificMenus@@YIXPAX@Z
0x9f9f0,SOURCE/KB,Od,0x2d,?EarlyResizeWindow@@YIXHHHH@Z
0x9fa1d,SOURCE/KB,Od,0x53,?InMapArea@@YIHHH@Z
0x9fa70,SOURCE/KB,Od,0x6bc,?SetupDynamicWindow@@YIXHHHHHHHPAH00000PAPAVheroWindow@@H@Z
0xa012c,SOURCE/KB,Od,0x108,?TestDynamicWindow@@YIXHH@Z
0xa0234,SOURCE/KB,Od,0x91,?HandleRemoteDeadPlayerExit@@YIXH@Z
0xa02c5,SOURCE/KB,Od,0xaa,?HandleRemoteSuddenExit@@YIXXZ
0xa036f,SOURCE/KB,Od,0x62,?DropDownToOnePlayer@@YIXXZ
0xa03d1,SOURCE/KB,Od,0x412,?ReceiveHostReportsPlayerExit@@YIXHUSPlayerExit@@H@Z
0xa07e3,SOURCE/KB,Od,0x361,?ReceiveRemotePlayerExit@@YIXUSPlayerExit@@@Z
0xa0b44,SOURCE/KB,Od,0x29,?CheckMem@@YIHXZ
0xa0b6d,SOURCE/KB,Od,0x109,?GetManaCost@@YIHHPAVhero@@@Z
0xa0c76,SOURCE/KB,Od,0x9f,?SetWinText@@YIXPAVheroWindow@@H@Z
0xa0d15,SOURCE/KB,Od,0x8a,?CheckShingleUpdate@@YIXXZ
0xa0d9f,SOURCE/KB,Od,0x17c6,?NormalDialog@@YIXPADHHHHHHHHH@Z
0xa2565,SOURCE/KB,Od,0x71,?UpdateNormalDialog@@YIXPAD@Z
0xa25e0,SOURCE/SEARCH,O2,0xc0,?BuildPath@searchArray@@QAEHHHHHH@Z
0xa26a0,SOURCE/SEARCH,O2,0x9df,?SeedPosition@searchArray@@QAEXHHHHHHHHHHHH@Z
0xa3080,SOURCE/REMOTE,Od,0x188,?RemoteCleanup@@YIXXZ
0xa3208,SOURCE/REMOTE,Od,0x6da,?RemoteMain@@YIXH@Z
0xa38e2,SOURCE/REMOTE,Od,0x85,?UnloadRemoteDriver@@YIXF@Z
0xa3967,SOURCE/REMOTE,Od,0x8d,?calc_crc_long@@YIHPAEH@Z
0xa39f4,SOURCE/REMOTE,Od,0x2c,?calc_crc@@YIXPAGPAEH@Z
0xa3a20,SOURCE/REMOTE,Od,0x87,?EncodePacket@@YIHPAEDDH@Z
0xa3aa7,SOURCE/REMOTE,Od,0x13a,?DecodePacket@@YIHPAEH@Z
0xa3be1,SOURCE/REMOTE,Od,0x18e,?SendRemoteData@@YIHPAE0HH@Z
0xa3d6f,SOURCE/REMOTE,Od,0x158,?ReceiveRemoteData@@YIHPAE0H@Z
0xa3ec7,SOURCE/REMOTE,Od,0x21a,?TransmitRemoteData@@YIHPADHHCCCC@Z
0xa40e1,SOURCE/REMOTE,Od,0x10b,?GetRemoteData@@YIPADC@Z
0xa41ec,SOURCE/REMOTE,Od,0x6f4,?PollRemote@@YIXXZ
0xa48e0,SOURCE/REMOTE,Od,0x163,?TransmitAndWait@@YIHPADHHCCPAPAD@Z
0xa4a50,SOURCE/FINDPATH,O2,0x10,??0searchArray@@QAE@XZ
0xa4a60,SOURCE/FINDPATH,O2,0x30,??1searchArray@@QAE@XZ
0xa4a90,SOURCE/FINDPATH,O2,0x60,?Init@searchArray@@QAEXXZ
0xa4af0,SOURCE/FINDPATH,O2,0x30,?Close@searchArray@@QAEXXZ
0xa4b20,SOURCE/FINDPATH,O2,0x40,?Clear@searchArray@@QAEXXZ
0xa4b60,SOURCE/FINDPATH,O2,0x40,?QuickDistance@searchArray@@QAEHHHHH@Z
0xa4ba0,SOURCE/FINDPATH,O2,0x80,?CalcTerrainCost@@YIHHHHHHH@Z
0xa4c20,SOURCE/FINDPATH,O2,0x270,?PushPoint@searchArray@@QAEXHHHHHHHHHHHH@Z
0xa4e90,SOURCE/FINDPATH,O2,0x36f,?TestPossibleDirections@searchArray@@QAEXHHQAC0HH@Z
0xa5200,SOURCE/FINDPATH,O2,0x1f0,?SeedCombatPosition@searchArray@@QAEXPAVarmy@@@Z
0xa53f0,SOURCE/FINDPATH,O2,0x410,?FindCombatPath@searchArray@@QAEHHHPAVarmy@@HH@Z
0xa5800,SOURCE/FINDPATH,O2,0x100,?PushCombatPoint@searchArray@@QAEXHHHH@Z
0xa5900,SOURCE/FLY,Od,0x295,?CanFit@army@@QAEHHHPAH@Z
0xa5b95,SOURCE/FLY,Od,0x405,?ValidFlight@army@@QAEHHH@Z
0xa5f9a,SOURCE/FLY,Od,0x25,?FlyTo@army@@QAEHXZ
0xa5fbf,SOURCE/FLY,Od,0xc1f,?FlyTo@army@@QAEHH@Z
0xa6be0,SOURCE/netwin,Od,0xa8,?is_netbios_avail@@YIHXZ
0xa6c88,SOURCE/netwin,Od,0x244,@nb_init@8
0xa6ecc,SOURCE/netwin,Od,0x207,@nb_term@0
0xa70d3,SOURCE/netwin,Od,0xb3,@nb_rcv@8
0xa7186,SOURCE/netwin,Od,0xe4,@nb_snd@12
0xa726a,SOURCE/netwin,Od,0x4cd,_nb_sess
0xa7737,SOURCE/netwin,Od,0x21,@nb_stat@4
0xa7758,SOURCE/netwin,Od,0xdd2,?nb_thr_ctl@@YIXXZ
0xa8530,SOURCE/EVENTS,Od,0x5adb,?DoEvent@advManager@@QAEXPAVmapCell@@HH@Z
0xae00b,SOURCE/EVENTS,Od,0x9f7,?EraseObj@advManager@@QAEXPAVmapCell@@HH@Z
0xaea02,SOURCE/EVENTS,Od,0x90,?HeroSwap@advManager@@QAEXPAVhero@@0@Z
0xaea92,SOURCE/EVENTS,Od,0x12f,?BarrierEvent@advManager@@QAEHPAVmapCell@@PAVhero@@@Z
0xaebc1,SOURCE/EVENTS,Od,0x99,?StrEqNoCase@@YICPAD0@Z
0xaec5a,SOURCE/EVENTS,Od,0xde,?PasswordEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z
0xaed38,SOURCE/EVENTS,Od,0x6fe,?GenericSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z
0xaf436,SOURCE/EVENTS,Od,0x191,?RecruitSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z
0xaf5c7,SOURCE/EVENTS,Od,0x8b,?ExpansionRecruitEvent@advManager@@QAEXPAVhero@@HPAF@Z
0xaf652,SOURCE/EVENTS,Od,0x22a,?JailEvent@advManager@@QAEXPAVmapCell@@PAVhero@@HH@Z
0xaf87c,SOURCE/EVENTS,Od,0x1da,?TownEvent@advManager@@QAEXPAVmapCell@@HH@Z
0xafa56,SOURCE/EVENTS,Od,0x516,?EventSound@advManager@@QAEXHHPAUSAMPLE2@@@Z
0xaff6c,SOURCE/EVENTS,Od,0xc7,?EventWindow@advManager@@QAEXHHPADHHHHH@Z
0xb0033,SOURCE/EVENTS,Od,0xb6,?GiveArtifact@@YIHPAVhero@@HHC@Z
0xb00e9,SOURCE/EVENTS,Od,0x5e,?GiveRandomArtifact@advManager@@QAEHPAVhero@@@Z
0xb0147,SOURCE/EVENTS,Od,0x67,?GiveExperience@advManager@@QAEHPAVhero@@HH@Z
0xb01ae,SOURCE/EVENTS,Od,0x80,?GiveResource@advManager@@QAEXPAVhero@@HH@Z
0xb022e,SOURCE/EVENTS,Od,0xbb,?RecruitEvent@advManager@@QAEXPAVhero@@HPAVmapCell@@@Z
0xb02e9,SOURCE/EVENTS,Od,0x261,?SkeletonEvent@advManager@@QAEHPAVhero@@PAVmapCell@@PADHH@Z
0xb054a,SOURCE/EVENTS,Od,0x29b,?ZombieEvent@advManager@@QAEHPAVhero@@PAVmapCell@@PADHH@Z
0xb07e5,SOURCE/EVENTS,Od,0x2f8,?GhostEvent@advManager@@QAEHPAVhero@@PAVmapCell@@PADHH@Z
0xb0add,SOURCE/EVENTS,Od,0x274,?HouseEvent@advManager@@QAEXPAVhero@@PAVmapCell@@@Z
0xb0d51,SOURCE/EVENTS,Od,0x62f,?CombatMonsterEvent@advManager@@QAEHPAVhero@@HHPAVmapCell@@HHHHHHHHHHH@Z
0xb1380,SOURCE/EVENTS,Od,0x5f3,?GiveTakeArtifactStat@@YIXPAVhero@@HH@Z
0xb1973,SOURCE/EVENTS,Od,0x1dd,?TransferArtifacts@advManager@@QAEXPAVhero@@0@Z
0xb1b50,SOURCE/EVENTS,Od,0x7f,?HeroLoses@advManager@@QAEXPAVhero@@@Z
0xb1bcf,SOURCE/EVENTS,Od,0x132,?DoWhirlpool@advManager@@QAEXPAVhero@@@Z
0xb1d01,SOURCE/EVENTS,Od,0x142,?FizzleCenter@advManager@@QAEXH@Z
0xb1e43,SOURCE/EVENTS,Od,0x2a40,?DoAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@HH@Z
0xb4883,SOURCE/EVENTS,Od,0x65,?BarrierAIEvent@advManager@@QAEHPAVmapCell@@PAVhero@@@Z
0xb48e8,SOURCE/EVENTS,Od,0x53,?PasswordAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z
0xb493b,SOURCE/EVENTS,Od,0x369,?GenericSiteAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z
0xb4ca4,SOURCE/EVENTS,Od,0x18f,?RecruitSiteAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z
0xb4e33,SOURCE/EVENTS,Od,0x1a2,?JailAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@HH@Z
0xb4fd5,SOURCE/EVENTS,Od,0x82b,?PlayerMonsterInteract@advManager@@QAEXPAVmapCell@@0PAVhero@@PAHHHHHH@Z
0xb5800,SOURCE/EVENTS,Od,0x440,?ComputerMonsterInteract@advManager@@QAEXPAVmapCell@@PAVhero@@PAH@Z
0xb5c40,SOURCE/EVENTS,Od,0x1d0,?DoNetCombat@advManager@@QAEHPAD@Z
0xb5e10,SOURCE/EVENTS,Od,0x64e,?DoCombat@advManager@@QAEHHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHHH@Z
0xb645e,SOURCE/EVENTS,Od,0x36f,?SendHeroTownData@advManager@@QAEXHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHHHHHH@Z
0xb67cd,SOURCE/EVENTS,Od,0x462,?ReceiveHeroTownData@advManager@@QAEXPADPAH11PAPAVhero@@PAPAVarmyGroup@@PAPAVtown@@23111PAC55@Z
0xb6c2f,SOURCE/EVENTS,Od,0x254,?AutoResolveCombat@advManager@@QAEHHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHHH@Z
0xb6e83,SOURCE/EVENTS,Od,0xb8,?RiddleStringsEqual@@YIHPAD0@Z
0xb6f40,SOURCE/Newgame,Od,0x1d5,?GetMap@game@@QAEXXZ
0xb7115,SOURCE/Newgame,Od,0x77,?ProcessNewMap@game@@QAEXPAUSMapHeader@@@Z
0xb718c,SOURCE/Newgame,Od,0x491,?InitNewGame@game@@QAEXPAUSMapHeader@@@Z
0xb761d,SOURCE/Newgame,Od,0x81,?SetupNetPlayerNames@game@@QAEXXZ
0xb769e,SOURCE/Newgame,Od,0xaca,?NewGame@game@@QAEHXZ
0xb8168,SOURCE/Newgame,Od,0xf1,?CleanUpNewGameWindow@game@@QAEXXZ
0xb8259,SOURCE/Newgame,Od,0x67d,?InitNewGameWindow@game@@QAEXXZ
0xb88d6,SOURCE/Newgame,Od,0x59c,?UpdateNewGameWindow@game@@QAEXXZ
0xb8e72,SOURCE/Newgame,Od,0xf46,?NewGameHandler@@YIHAAUtag_message@@@Z
0xb9db8,SOURCE/Newgame,Od,0x418,?ProcessNGKeyPress@game@@QAEHAAUtag_message@@@Z
0xba1d0,SOURCE/Newgame,Od,0x11e,?NGKPSetupDisplayString@game@@QAEXPADG@Z
0xba2ee,SOURCE/Newgame,Od,0xae,?DrawNGKPDisplayString@game@@QAEXH@Z
0xba39c,SOURCE/Newgame,Od,0xb71,?ShowScenInfo@game@@QAEXXZ
0xbaf0d,SOURCE/Newgame,Od,0x1c7,?GetLossConditionText@game@@QAEXPAD@Z
0xbb0d4,SOURCE/Newgame,Od,0x2fb,?GetVictoryConditionText@game@@QAEXPAD@Z
0xbb3cf,SOURCE/Newgame,Od,0x2a7,?GetSideDesc@game@@QAEHPADHH@Z
0xbb680,SOURCE/X_CAMPGN,Od,0x23,??0ExpCampaign@@QAE@XZ
0xbb6a3,SOURCE/X_CAMPGN,Od,0x16,??1ExpCampaign@@QAE@XZ
0xbb6b9,SOURCE/X_CAMPGN,Od,0x29,?ResetMapChoices@ExpCampaign@@QAEXXZ
0xbb6e2,SOURCE/X_CAMPGN,Od,0x29,?ResetMapsPlayed@ExpCampaign@@QAEXXZ
0xbb70b,SOURCE/X_CAMPGN,Od,0x29,?ResetAwards@ExpCampaign@@QAEXXZ
0xbb734,SOURCE/X_CAMPGN,Od,0x29,?ResetBonusChoices@ExpCampaign@@QAEXXZ
0xbb75d,SOURCE/X_CAMPGN,Od,0x23,?GrantAward@ExpCampaign@@QAEXH@Z
0xbb780,SOURCE/X_CAMPGN,Od,0x23,?RemoveAward@ExpCampaign@@QAEXH@Z
0xbb7a3,SOURCE/X_CAMPGN,Od,0x22,?HasAward@ExpCampaign@@QAECH@Z
0xbb7c5,SOURCE/X_CAMPGN,Od,0x24,?SetMapWasPlayed@ExpCampaign@@QAEXXZ
0xbb7e9,SOURCE/X_CAMPGN,Od,0x5a,?InitNewCampaign@ExpCampaign@@QAEXH@Z
0xbb843,SOURCE/X_CAMPGN,Od,0x7cb,?InitMap@ExpCampaign@@QAEXXZ
0xbc00e,SOURCE/X_CAMPGN,Od,0x33f,?ShowInfo@ExpCampaign@@QAEXHH@Z
0xbc34d,SOURCE/X_CAMPGN,Od,0x921,?UpdateInfo@ExpCampaign@@QAEXH@Z
0xbcc6e,SOURCE/X_CAMPGN,Od,0x172,?HandleVictory@ExpCampaign@@QAEHXZ
0xbcde0,SOURCE/X_CAMPGN,Od,0x167,?HandleVictory1@ExpCampaign@@QAEXXZ
0xbcf47,SOURCE/X_CAMPGN,Od,0x14b,?HandleVictory2@ExpCampaign@@QAEXXZ
0xbd092,SOURCE/X_CAMPGN,Od,0xce,?HandleVictory3@ExpCampaign@@QAEXXZ
0xbd160,SOURCE/X_CAMPGN,Od,0xb9,?HandleVictory4@ExpCampaign@@QAEXXZ
0xbd219,SOURCE/X_CAMPGN,Od,0x8c,?ReplaySmacker@ExpCampaign@@QAEXXZ
0xbd2a5,SOURCE/X_CAMPGN,Od,0xf8,?ReplaySmacker1@ExpCampaign@@QAEXXZ
0xbd39d,SOURCE/X_CAMPGN,Od,0xd9,?ReplaySmacker2@ExpCampaign@@QAEXXZ
